S/N,Subject Description,Topic ,Text
160.                  8,,CISC,"CISC has richer instruction sets, which include a larger number of instructions and more complex instructions. Two principal reasons have motivated this trend: a desire to simplify compilers and a desire to improve performance. The first of the reasons cited, compiler simplification, seems obvious. The task of the compiler writer is to generate a sequence of machine instructions for each HLL statement. If there are machine instructions that resemble HLL statements, this task is simplified. This reasoning has been disputed by the RISC researchers. They have found that complex machine instructions are often hard to exploit because the compiler must find those cases that exactly fit the construct. The task of optimizing the generated code to minimize code size, reduce instruction execution count, and enhance pipelining is much more difficult with a complex instruction set. The other major reason cited is the expectation that a CISC will yield smaller, faster programs. Let us examine both aspects of this assertion: that program will be smaller and that they will execute faster. There are two advantages to smaller programs. First, because the program takes up less memory, there is a savings in that resource. Second, in a paging environment, smaller programs occupy fewer pages, reducing page faults. The problem with this line of reasoning is that it is far from certain that a CISC program will be smaller than a corresponding RISC program. Thus it is far from clear that a trend to increasingly complex instruction sets is appropriate. This has led a number of groups to pursue the opposite path."
161.                  8,,Micro-programmed control unit,"The term micro-program was first coined by M. V. Wilkes in the early 1950s. Wilkes proposed an approach to control unit design that was organized and systematic that avoided the complexities of a hardwired implementation. An alternative for Hardwired Control Unit, which has been used in many CISC processors, is to implement a micro-programmed control unit."
,,," A language is used to deign micro-programmed control unit known as a microprogramming language. Each line describes a set of micro-operations occurring at one time and is known as a microinstruction. A sequence of instructions is known as a micro-program, or firmware. "
,,,"For each micro-operation, control unit has to do is generate a set of control signals. Thus, for any microoperation, control line emanating from the control unit is either on or off. This condition can, be represented by a binary digit for each control line. So we could construct a control word in which each bit represents one control line. Now add an address field to each control word, indicating the location of the next control word to be executed if a certain condition is true. "
,,,"The result is known as a horizontal microinstruction. The format of the microinstruction or control word is as follows. There is one bit for each internal processor control line and one bit for each system bus control line. There is a condition field indicating the condition under which there should be a branch, and there is a field with the address of the microinstruction to be executed next when a branch is taken"
162.                  8,,Key,"A key is a single attribute or combination of two or more attributes of an entity set that is used to identify one or more instances of the set. The attribute of entity set which identifies and distinguishes instances of entity set is called primary key. If we add additional attributes to a primary key, the resulting combination would still uniquely identify an instance of the entity set. Such keys are called super keys. A primary key is therefore a minimal super key."
,,,
163.                  8,,INSTRUCTION SET DESIGN,"One of the most interesting and most analyzed, aspect of computer design is instruction set is very complex because it affect so many aspect of the computer system. The instruction defines any of the functions performed by the processor and thus has significant effect on the implementation of the process. The instruction set is the programmer’s means of controlling the processor. Thus, programmer requirements must be considered in designing the instruction set. The most important of these fundamental design issues include the following: "
,,,·       Operation repertoire: How many and which operations to provide and how complex operations should be. 
,,,·       Data types: The various types of data upon which operations are perform.
,,,·       Instruction format: Instruction length (in nits) number of assesses size of various fields and so on. 
,,,·       Registers: Number of processor registers that can be referenced by instructions and their use. 
,,,·       Addressing: The mode or modes by which the address of an operand is specified. These issues are highly interrelated and must be considered together in designing an instruction set.
164.                  8,,MAIN MEMORY,"The main memory is the central storage unit in a computer system. It is a relatively large and fast memory used to store programs and data during the computer operation. The principal technology used for the main memory is based on semiconductor integrated circuits. Integrated circuit RAM chips are available in two possible operating modes, static and dynamic. The static RAM consists essentially of internal flip-flops that store the binary information. The stored information remains valid as long as power is applied to the unit. The dynamic RAM stores the binary information in the form of electric charges that are applied to capacitors. The capacitors are provided inside the chip by MOS transistors. The stored charge on the capacitors tends to discharge with time and the capacitors must be periodically recharged by refreshing the dynamic memory. Refreshing is done by cycling through the words every few milliseconds to restore the decaying charge. The dynamic RAM offers reduced power consumption and larger storage capacity in a single memory chip. The static RAM is easier to use and has shorter read and write cycles. Most of the main memory in a general-purpose computer is made up of RAM integrated circuit chips, but a portion of the memory may be constructed with ROM chips. Originally, RAM was used to refer to a random-access memory, but now it is used to designate a read/write memory to distinguish it from a read-only memory, although ROM is also random access. RAM is used for storing the bulk of the programs and data that are subject to change. ROM is used for storing programs that are permanently resident in the computer and for tables of constants that do not change in value once the production of the computer is completed. Among other things, the ROM portion of main memory is needed for storing an initial program called a bootstrap loader. The bootstrap loader is a program whose function is to start the computer software operating when power is turned on. Since RAM is volatile, its contents are destroyed when power is turned off. The contents of ROM remain unchanged after power is turned off and on again. The startup of a computer consists of turning the power on and starting the execution of an initial program. Thus when power is turned on, the hardware of the computer sets the program counter to the first address of the bootstrap loader. The bootstrap program loads a portion of the operating system from disk to main memory and control is then transferred to the operating system, which prepares the computer for general use."
165.                  8,,Modes of Transfer,The binary information that is received from an external device is usually stored in the memory unit. The information that is transferred from the CPU to the external device is originated from the memory unit. CPU merely processes the information but the source and target is always the memory unit. Data transfer between CPU and the I/O devices may be done in different modes. Data transfer to and from the peripherals may be done in any of the three possible ways.
,,,·       Programmed I/O. 
,,,·       Interrupt- initiated I/O. 
,,,·       Direct memory access (DMA).
166.                  8,Human Computer Interaction,,"Heuristics evaluation is a methodical procedure to check user interface for usability problems. Once a usability problem is detected in design, they are attended as an integral part of constant design processes. Heuristic evaluation method includes some usability principles such as Nielsen’s ten Usability principles."
167.                  8,,,"The objective of this chapter is to learn all the aspects of design and development of interactive systems, which are now an important part of our lives. The design and usability of these systems leaves an effect on the quality of people’s relationship to technology. Web applications, games, embedded devices, etc., are all a part of this system, which has become an integral part of our lives. Let us now discuss on some major components of this system."
168.                  8,,,"Usability Engineering is a method in the progress of software and systems, which includes user contribution from the inception of the process and assures the effectiveness of the product through the use of a usability requirement and metrics. It thus refers to the Usability Function features of the entire process of abstracting, implementing & testing hardware and software products. Requirements gathering stage to installation, marketing and testing of products, all fall in this process."
169.                  8,,,"Software Engineering is the study of designing, development and preservation of software. It comes in contact with HCI to make the man and machine interaction more vibrant and interactive."
170.                  9,,,"Graphic User Interface (GUI) is the interface from where a user can operate programs, applications or devices in a computer system. This is where the icons, menus, widgets, labels exist for the users to access. It is significant that everything in the GUI is arranged in a way that is recognizable and pleasing to the eye, which shows the aesthetic sense of the GUI designer. GUI aesthetics provides a character and identity to any product."
171.                  9,,,Gesture Recognition is a subject in language technology that has the objective of understanding human movement via mathematical procedures. Hand gesture recognition is currently the field of focus. This technology is future based.
172.                  9,,,A Keyboard can be considered as a primitive device known to all of us today. Keyboard uses an organization of keys/buttons that serves as a mechanical device for a computer. Each key in a keyboard corresponds to a single written symbol or character. This is the most effective and ancient interactive device between man and machine that has given ideas to develop many more interactive devices as well as has made advancements in itself such as soft screen keyboards for computers and mobile phones.
173.                  9,,Overview of the Computer System,"The computer system is made up of various elements and each of these elements affects the interaction in the following manner: Input devices are used for text entry and pointing. Output devices are used for display and print of processed data on Visual Display Unit(screen) and printer on digital paper Virtual reality affected using special interaction and dis Physical interaction carried out through sound, haptic, and bio Paper is used for printing output and for scanning inputs. Storage and memory utilized through accessing large capacity Random Access Memory ( RAM) and permanent storage media Processing carried out using high speed processing units and networks"
174.                  9,,What is Human-Computer Interaction (HCI)?,"Human-computer interaction (HCI) is a multidisciplinary field of study focusing on the design of computer technology and, in particular, the interaction between humans (the users) and computers. While initially concerned with computers, HCI has since expanded to cover almost all forms of information technology design."
,,,"HCI surfaced in the 1980s with the advent of personal computing, just as machines such as the Apple Macintosh, IBM PC 5150 and Commodore 64 started turning up in homes and offices in society changing numbers. For the first time, sophisticated electronic systems were available to general consumers for uses such as word processors, games units and accounting aids. Consequently, as computers were no longer room-sized, expensive tools exclusively built for experts in specialized environments, the need to create human-computer interaction that was also easy and efficient for less experienced users became increasingly vital. From its origins, HCI would expand to incorporate multiple disciplines, such as computer science, cognitive science and human-factors engineering."
175.                  9,File Organization,File organization,A file is a collection of or log of records. Having stored the records in a file it is necessary to access these records using either a primary or secondary key. The type and frequency of access required determines the type of file organization to be used for a given set of records. 
,,,"A File is organized logically as a sequence of records. These records are mapped onto disk blocks .Files are provided as a basic construct in operating systems, so we shall assume the existence of an underlying file system. We need to consider ways of representing logical data models in terms of files."
,,," Although blocks are of a fixed size determined by the physical properties of the disk and by the operating system, record sizes vary. In a relational database, tuples of distinct relations are generally of different sizes."
176.                  9,,Organization of Records in a File,"So far, we have studied how records are represented in a file structure. A relation is a set of records. Given a set of records; the next question is how to organize them in a file. Several of the possible ways of organizing records in files are: "
,,,"·       Heap File Organization Any record can be placed anywhere in the file where there is space for a record. There is no ordering of records. Typically, there is a single file for each relation. "
,,,"·       Sequential File Organization Records are stored in sequential order, according to the value of a “search key” of each record. "
,,,·       Hashing File Organization A hash function is computed on some other attribute of each record. The result of the hash function specifies in which block of the file the record should be placed.
177.                  9,,Sequential File Organization,"In a sequential file, records are maintained in the logical sequence of their primary key values. The processing of a sequential file is conceptually simple but inefficient for random access. A sequential file could be stored on a sequential storage device such as a magnetic tape."
,,,"Search for a given record in a sequential file requires, an average access to half the records in the file. A binary2 or logarithmic search technique may also be used to search for a record."
,,,"Updating usually requires the creation of a new file. To maintain file sequence records are copied to the point where amendment is required. The changes are then made and copied to the new file. Following this, the remaining records in the original file are copied to the new file, thus creating an automatic back-up copy."
178.                  9,,Hash Files,"In the index sequential file organization considered, the mapping from the search key value to the storage location is via index entries. In direct file organizations, the key value is mapped directly to the storage location, avoiding the use of indices. The usual method of direct mapping is by performing some arithmetic manipulation of the key value. This process is called hashing. "
,,,However hashing schemes usually give rise to collisions when two or more distinct key values are mapped to the same value. Collisions are handled in a number of ways .The colliding records may be assigned to the next available free space or they may be assigned to overflow area. 
,,,"In using the hash function to generate a value, which is the address of a bucket where the pair values of records are stored, we can handle limited collisions as well as re-organizations of the file without affecting the hash function. In extendable hashing; the database size changes are handled by splitting or coalescing buckets."
179.                  9,,Database,"It is fair to say that databases will play a critical role in almost all areas where computers are used including business, engineering, medicine, law, education and library science etc. The term Database is a collection of related data with an implicit meaning. "
,,,"By Data, we mean known facts that can be recorded and that have implicit meaning. Consider the names, telephone numbers, and addresses of the people you know. We may record this data in an indexed address book, or diskette, using a personal computer and software such as FoxPro, Excel, and Access etc."
180.                  1,,DBMS (Database Management System),"A DBMS (Database Management System) is a collection of programs that enables users to create and maintain a database. A DBMS is hence a general purpose s/w system that facilitates the process of Defining, Constructing and Manipulating databases for various applications."
,,,"·       Defining a database involves specifying the data types, structures and constraints for the data to be stored in the database (I. specifying different types of data elements to be stored in each record). "
,,,·       Constructing the database is the process of storing the data itself on some storage medium that is controlled by the DBMS. 
,,,"·       Manipulating a database includes such functions as querying the database to retrieve the specific data, updating the database to reflect changes in the mini world and generating reports from the data .Data manipulation involves querying and updating. These informal queries and updates must be specified precisely in the database system language before they can be processed. Most medium and large size databases include many types of records and have many relationships among records."
181.                  1,,Users of DBMS,The users of a database system can be classified according to the degree of expertise or the mode of their interactions with the DBMS.
,,,1.       Naive Users:  Users who need not be aware of the presence of the database system or any other system supporting their usage are considered naïve users. A user of an automatic teller machine falls in this category. The operations that can be performed by these types of users are very limited and affect a precise portion of the database. Other such users are end users of the database who work through menu oriented application program where the type and range of response is always indicated to the user. 
,,,2.       Online Users: These are the users who may communicate with the database directly via an online terminal or indirectly via a user interface and application program. These users are aware of the presence of database system and may have acquired a certain amount of expertise in the limited interaction with the database through the application program. The more sophisticated of these users may also use a data manipulation language to manipulate the database directly. Online users can also be naïve users requiring additional help such as menus. 
,,,"3.       Application Programmers: Professional programmers who are responsible for developing application programs or user interfaces utilized by the naïve and online users fall into this category. The application program could be written in a general purpose programming language such as C, Assembler, FORTRAN, Pascal etc. and can include commands required to manipulate the database. "
,,,"4.       Database Administrator: Centralized control of the database is exerted by a person or group of persons under the supervision of high level administrator. This person or group is referred to as the Database Administrator (DBA). They are the users who are most familiar with the database and are responsible for creating, modifying and maintaining its 3 levels."
182.                  1,,Storage Manager,"The storage manager is important because databases typically require a large amount of storage space. Corporate databases range in size from hundreds of gigabytes to, for the largest databases, terabytes of data. A gigabyte is (1 billion bytes) and terabyte is 1 million megabytes (1 trillion bytes). Since the main memory of computers cannot store this much information, the information is stored on disks. Data are moved between disk storage and main memory as needed. Since the movement of data to and from disk is slow relative to the speed of the CPU. (Which minimizes need to move data from disk and main memory). "
,,,"A storage manager is a program module that provides the interface between the low level data stored in the database and the application programs and queries submitted to the system. It is also responsible for interaction with the file manager. The raw data are stored on the disk using the file system, which is usually provided by a conventional operating system. The storage manager translates the various DML statements into low-level file-system commands. Thus the storage manager is responsible for storing, retrieving and updating data in the database"
183.                  1,,Query Processor,The database user retrieves data by formulating a query in the data manipulation language provided with the database. The query processor is used to interpret the online user’s query and convert it into an efficient series of operations in a form capable of being sent to the data manager for execution. The query processor uses the data dictionary to find the structure of the relevant portion of the database and uses this information in modifying the query and preparing an optimal plan to access the database.
184.                  1,,Types of  Query Processor,1.       DDL Interpreter - This interprets DDL statements and records the definitions in the data dictionary. 
,,,"2.       DML Pre-Compiler - This translates DML statements in a query language into an evaluation plan consisting of low – level instructions that the query evaluation engine understands. A query can usually be translated into any number of alternative evaluation plans that all give the same result. The DML compiler also performs query optimization, that is, it picks the lowest cost evaluation plan from among the alternatives. "
,,,3.       Embedded DML Pre-compiler: It converts DML statements embedded in an application program to normal procedure calls in the host language. The pre compiler must interact with the DML compiler to generate the appropriate code.
,,,4.       Query Evaluation Engine - Which executes low-level instructions generated by the DML compiler.
185.                  1,,TYPES OF DBMS,A model is an abstraction process that hides superfluous details while highlighting details important to the application in hand. A data model is a mechanism that provides this abstraction for database applications. 
,,,Data modeling is used for representing entities of interest and their relationships in the database. It allows the conceptualization of the association between various entities and their attributes. A number of models for data representation have been developed. Most data representation models provide mechanisms to structure data for the entities being modeled and allow a set of operations to be defined on them. 
,,,The models can also enforce a set of constraints to maintain the integrity of the data. These models differ in their method of representing the association among entities and attributes.
,,,"The main models that we will study are the hierarchical, network and relational models."
186.                   ,,Domain,"We define domain Di as a set of values of the same data type. The domain Di, a set having “homogeneous” members, is conceptually similar to the data type concept in programming languages. A domain like a data type may be unstructured (atomic) or structured. Domain."
,,,"Di is said to be simple if all its elements are non-decomposable (i.e. atomic).In typical DBMS systems atomic domains are general sets, such as the set of integers, real numbers, character strings and so on."
,,,"Atomic domains are sometimes referred to as application –Independent domains because these general sets are not dependent on a particular application. We can also define application-dependent domains by specifying the values permitted in the particular database. Structured or composite domains can be specified as consisting of non-atomic values. For instance, the domain for the attribute address which specifies street number, street name, city, state, zip or postal code is considered as composite domain. "
,,,"Attributes are defined on some underlying domain. That is they can assume values from the set of values in the domain. Attributes defined on the same domain are comparable as these attributes draw their values from the same set .It is meaningless to compare attributes defined on different domains. It has become traditional to denote attributes by uppercase letters from the beginning of the alphabet. Thus A, B, C with or without subscripts denote attributes."
187.                   ,,Relational Database Objects,Various types of objects can be found in a relational database. Some of the most common objects found in a relational database include: 
,,,"·       Table – A table is the primary object used to store data in a relational database. When data is queried and accessed for modification, it is usually found in a table. A table is defined by columns. One occurrence of all columns in a table is called a row of data. "
,,,"·       View - A view is a virtual table, in that it looks like and acts like a table. A view is defined based on the structure and data of a table. A view can be queried and sometimes updated. "
,,,·       Constraint - A constraint is an object used to place rules on data. Constraints are used to control the allowed data in a column. Constraints are created at the column level and also used to enforce referential integrity (parent and child table relationships). 
,,,"·       Index - An index is an object that is used to speed the process of data retrieval on a table. For example, an index might be created on a customer’s name if users tend to search for customers by name. The customer names would be stored alphabetically in the index. The rows in the index would point to the corresponding rows in the table, much like an index in a book points to a particular page. "
,,,"·       Trigger - A trigger is a stored unit of programming code in the database that is fired based on an event that occurs in the database. When a trigger is fired, data might be modified based on other data that is accessed or modified. Triggers are useful for maintaining redundant data. Procedure - A procedure is a program that is stored in the database. A procedure is executed at the database level. Procedures are typically used to manage data and for batch processing."
188.                   ,,DBMS Components,A database system has several subsystems.
,,,·       The storage manager subsystem provides the interface between the low level data stored in the database and the application programs and queries submitted to the system.
,,,·       The query processor subsystem compiles and executes DDL and DML statements.
,,,·       Transaction management ensures that the database remains in a consistent (correct ) state despite system failures .The transaction manager ensures that concurrent transaction executions proceeds without conflicting.
,,,"·       Database applications are typically broken up into a front-end part that runs at client machines and a part that runs at the back end. In two tier architectures, the front end directly communicates with a database running at the back end. In three tier architectures, the back end part is itself broken up into an application server and a database server."
189.                   ,,ENTITY-RELATIONSHIP MODEL,ER model is a popular high level conceptual data model. Earlier commercial systems were based on the hierarchical and network approach. The ER model is a generalization of these models. It allows the representation of explicit constraints as well as relationships. 
,,,"Even though the ER model has some means of describing the physical database model, it is basically useful in the design and communication of the logical database model. "
,,,"In this model, objects of similar structure are collected into entity set. The relationship between entity set is represented by a named ER relationship and is 1:1, 1:M or M:N., mapping from one entity set to another. The database structure, employing the ER model is usually shown pictorially using ERDs. "
,,,"ER model consist of basic objects, called entities and relationship among these objects. It represents overall logical structure of a database. The database structure, employing the ER model is usually shown pictorially using ERDs. Semantic modeling is known by many names including data modeling, Entity relationship modeling, entity modeling and object modeling. ER model was introduced by Chen in 1976 and refined in various ways by Chen and numerous others since that time. It is one of the several semantic data models ER model is based on 3 basic concepts."
190.                   ,,Entity set,An Entity is a thing or object in the real world that is distinguishable from all other objects. It is an object of interest to an organization. E.g. Each person in an enterprise.
,,, Each student in the institute 
,,,Loan in bank etc. 
,,,"For instance a student has student-id which uniquely identifies one particular student in the institute. Similarly, loans can be thought of as entities and loan number at particular branch uniquely identifies a loan entity. "
,,,"An entity may be concrete, such as a person or a book, or it may be abstract such as loan, holiday."
,,,"Objects of similar types are characterized by the same set of attributes or properties. Such similar objects form an entity set or entity type. Two objects are mutually distinguishable and this fact is represented in the entity set by giving them unique identifiers. Objects are represented by their attributes and as objects are interdistinguishable, a subset of these attributes forms a primary key or a key for uniquely identifying an instance of an entity."
191.                   ,,File Attributes,"The particular information kept for each file varies from operating system to operating system. No matter what operating system one might be using, files always have certain attributes or characteristics. Different file attributes are discussed as follow."
,,,"·       File Name: The symbolic file name is the only information kept in human-read form. As it is obvious, a file name helps users to differentiate between various files."
,,,"·       File Type: A file type is required for the systems that support different types of files. As discussed earlier, file type is a part of the complete file name. We might have two different files; say “cit381.doc” and “cit381.txt”. Therefore the file type is an important attribute which helps in differentiating between files based on their types. File types indicate which application should be used to open a particular file."
,,,"·       Location: This is a pointer to the device and location on that device of the file. As it is clear from the attribute name, it specifies where the file is stored."
,,,"·       Size: Size attribute keeps track of the current size of a file in bytes, words or blocks. The size of a file is measured in bytes. A floppy disk holds about 1.44 Mb; a Zip disk holds 100 Mb or 250 Mb; a CD holds about 800 Mb; a DVD holds about 4.7 Gb."
,,,"·       Protection: Protection attribute of a file keeps track of the access-control information that controls who can do reading, writing, executing, and so on. "
,,,·       Usage Count This value indicates the number of processes that are currently using (have opened) a particular file. 
,,,"·       Time, Date and Process Identification: This information may be kept for creation, last modification, and last use. Data provided by this attribute is often helpful for protection and usage monitoring. Each process has its own identification number which contains information about file hierarchy."
192.                   ,,File Organization and Access Methods,"In this unit, we use the term file organization to refer to the structure of a file (especially a data file) defined in terms of its components and how they are mapped onto backing store. Any given file organization supports one or more file access methods. Organization is thus closely related to but conceptually distinct from access methods. Access method is any algorithm used for the storage and retrieval of records from a data file by determining the structural characteristics of the file on which it is used."
,,,"In choosing a file organization, several criteria are important: "
,,,• Short access time 
,,,• Ease of update 
,,,• Economy of storage 
,,,• Simple maintenance 
,,,• Reliability. 
,,,"The relative priority of these criteria will depend on the applications that will use the file. For example, if a file is only to be processed in batch mode, with all of the records accessed every time, then rapid access for retrieval of a single record is of minimal concern. A file stored on CDROM will never be updated, and so ease of update is not an issue. These criteria may conflict. For example, for economy of storage, there should be minimum redundancy in the data. On the other hand, redundancy is a primary means of increasing the speed of access to data. An example of this is the use of indexes."
193.                   ,,The Pile/Serial,"The least-complicated form of file organization may be termed the pile/serial. Data are collected in the order in which they arrive. Each record consists of one burst of data. The purpose of the pile/serial is simply to accumulate the mass of data and save it. Records may have different fields, or similar fields in different orders. Thus, each field should be self-describing, including a field name as well as a value. The length of each field must be implicitly indicated by delimiters, explicitly included as a subfield, or known as default for that field type. Because there is no structure to the pile/serial file, record access is by exhaustive search. That is, if we wish to find a record that contains a particular field with a particular value, it is necessary to examine each record in the pile until the desired record is found or the entire file has been searched. If we wish to find all records that contain a particular field or contain that field with a particular value, then the entire file must be searched. "
,,,"Pile/serial files are encountered when data are collected and stored prior to processing or when data are not easy to organize. This type of file uses space well when the stored data vary in size and structure; is perfectly adequate for exhaustive searches, and is easy to update. However, beyond these limited uses, this type of file is unsuitable for most applications."
194.                   ,,File Management System,"The file management system, FMS is the subsystem of an operating system that manages the data storage organisation on secondary storage, and provides services to processes related to their access. In this sense, it interfaces the application programs with the low-level media-I/O (e.g. disk I/O) subsystem, freeing on the application programmers from having to deal with low-level intricacies and allowing them to implement I/O using convenient data-organisational abstractions such as files and records. On the other hand, the FMS services often are the only ways through which applications can access the data stored in the files, thus achieving an encapsulation of the data themselves which can be usefully exploited for the purposes of data protection, maintenance and control. Typically, the only way that a user or application may access files is through the file management system. This relieves the user or programmer of the necessity of developing special-purpose software for each application and provides the system with a consistent, well-defined means of controlling its most important asset."
195.                   ,,Operations Supported by File Management System,Users and applications wish to make use of files. Typical operations that must be supported include the following: 
,,,"Ø  Retrieve _All Retrieve all the records of a file. This will be required for an application that must process all of the information in the file at one time. For example, an application that produces a summary of the information in the file would need to retrieve all records. This operation is often equated with the term sequential processing, because all of the records are accessed in sequence. "
,,,"Ø  Retrieve _One This requires the retrieval of just a single record. Interactive, transaction-oriented applications need this operation. "
,,,"Ø  Retrieve _Next This requires the retrieval of the record that is “next” in some logical sequence to the most recently retrieved record. Some interactive applications, such as filling in forms, may require such an operation. A program that is performing a search may also use this operation."
,,,"Ø  Retrieve _Previous Similar to Retrieve_Next, but in this case the record that is “previous” to the currently accessed record is retrieved. "
,,,Ø  Insert _One Insert a new record into the file. It may be necessary that the new record fit into a particular position to preserve a sequencing of the file. 
,,,Ø  Delete_One Delete an existing record. Certain linkages or other data structures may need to be updated to preserve the sequencing of the file.
,,,"Ø  Update_One Retrieve a record, update one or more of its fields, and rewrite the updated record back into the file. Again, it may be necessary to preserve sequencing with this operation. If the length of the record has changed, the update operation is generally more difficult than if the length is preserved. "
,,,"Ø  Retrieve_Few Retrieve a number of records. For example, an application or user may wish to retrieve all records that satisfy a certain set of criteria."
196.                   ,,Path Names,"When a file system is organised as a directory tree, some way is needed for specifying the filenames. The use of a tree-structured directory minimizes the difficulty in assigning unique names. Any file in the system can be located by following a path from the root or master directory down various branches until the file is reached. The series of directory names, culminating in the file name itself, constitutes a pathname for the file. Two different methods commonly used are: "
,,,• Absolute Path name 
,,,• Relative Path name
,,,"Ø  Absolute Path Name With this path name, each file is given a path consist of the path from the root directory to the file. As an example, the file in the lower lefthand corner of Figure 09 has the pathname User_B/Word/Unit_A/ABC. The slash is used to delimit names in the sequence. The name of the master directory is implicit, because all paths start at that directory. Note that it is perfectly acceptable to have several files with the same file name, as long as they have unique pathnames, which is equivalent to saying that the same file name may be used in different directories. In this example, there is another file in the system with the file name ABC, but that has the pathname /User_B/Draw/ABC."
,,,"Ø  Relative Path Name Although the pathname facilitates the selection of file names, it would be awkward for a user to have to spell out the entire pathname every time a reference is made to a file. Typically, an interactive user or a process has associated with it a current directory, often referred to as the working directory or current directory. Files are then referenced relative to the working directory. For example, if the working directory for user B is “Word,” then the pathname Unit_A/ABC is sufficient to identify the file in the lower left-hand corner of Figure 09. When an interactive user logs on, or when a process is created, the default for the working directory is the user home directory. During execution, the user can navigate up or down in the tree to change to a different working directory."
197.                   ,,Repositioning a File,"When repositioning a file, the directory is searched for the appropriate entry, and the current file position is set to a given value. This file operation is also called file seek. "
,,,"a.     Truncating a File The user may erase some contents of a file but keep its attributes. Rather than forcing the user to delete the file and then recreate it, this operation allows all the attributes to remain unchanged, except the file size. "
,,,"b.     Deleting a File To delete a file, the directory is searched for the named file. Having found the associated directory entry, the space allocated to the file is released (so it can be reused by other files) and invalidates the directory entry. "
,,,"c.     Renaming a File It frequently happens that user needs to change the name of an existing file. This system call makes that possible. It is not always strictly necessary, because the file can always be copied to a new file with the new name, and the old file then deleted. "
,,,"d.     Appending a File This call is a restricted form of WRITE call. It can only add data to the end of the file. System that provide a minima set of system calls do not generally have APPEND, but many systems provide multiple ways of doing the same thing, and these systems sometimes have APPEND."
198.                   ,,Methods of Blocking,"Given the size of a block, there are three methods of blocking that can be used, namely; fixed, variable-length and variable-length unspanned spanning. "
,,,"a.     Fixed Blocking Fixed-length records are used, and an integral number of records are stored in a block. There may be unused space at the end of each block. This is referred to as internal fragmentation. File fragmentation is defined as a condition in which files are broken apart on disk into small, physically separated segments. "
,,,"b.     Variable-Length Spanned Blocking Variable-length records are used and are packed into blocks with no unused space. Thus, some records must span two blocks, with the continuation indicated by a pointer to the successor block. "
,,,"c.     Variable-Length Unspanned Blocking Variable-length records are used, but spanning is not employed. There is wasted space in most blocks because of the inability to use the remainder of a block if the next record is larger than the remaining unused space."
199.                   ,,Methods of Improving Performance,"a.     Block Caching The most common technique used to reduce disk accesses is the block cache or buffer cache. (Cache is pronounced “cash,” and is derived from the French cacher, meaning to hide.) In this context, a cache is a collection of blocks that logically belong on the disk, but are being kept in memory for performance reasons. Various algorithms can be used to manage the cache, but a common one is to check all read requests to see if the needed block is in the cache. If it is, the read request can be satisfied without a disk access. If the disk is not in the cache, it is first read into the cache, and then copied to wherever it is needed. Subsequent requests for the same block can be satisfied from the cache. "
